subject	predicate	object
User462809	Gender	GenderMale
User462809	Ever_Married	Ever_MarriedNo
User462809	Age	Age22
User462809	everGraduated	GraduatedNo
User462809	Profession	ProfessionHealthcare
User462809	Work_Experience	Work_Experience1.0
User462809	Spending_Score	Spending_ScoreLow
User462809	Family_Size	Family_Size4.0
User462809	Var_1	Var_1Cat_4
User466315	Gender	GenderFemale
User466315	Ever_Married	Ever_MarriedYes
User466315	Age	Age67
User466315	everGraduated	GraduatedYes
User466315	Profession	ProfessionEngineer
User466315	Work_Experience	Work_Experience1.0
User466315	Spending_Score	Spending_ScoreLow
User466315	Family_Size	Family_Size1.0
User466315	Var_1	Var_1Cat_6
User461735	Gender	GenderMale
User461735	Ever_Married	Ever_MarriedYes
User461735	Age	Age67
User461735	everGraduated	GraduatedYes
User461735	Profession	ProfessionLawyer
User461735	Work_Experience	Work_Experience0.0
User461735	Spending_Score	Spending_ScoreHigh
User461735	Family_Size	Family_Size2.0
User461735	Var_1	Var_1Cat_6
User461319	Gender	GenderMale
User461319	Ever_Married	Ever_MarriedYes
User461319	Age	Age56
User461319	everGraduated	GraduatedNo
User461319	Profession	ProfessionArtist
User461319	Work_Experience	Work_Experience0.0
User461319	Spending_Score	Spending_ScoreAverage
User461319	Family_Size	Family_Size2.0
User461319	Var_1	Var_1Cat_6
User460156	Gender	GenderMale
User460156	Ever_Married	Ever_MarriedNo
User460156	Age	Age32
User460156	everGraduated	GraduatedYes
User460156	Profession	ProfessionHealthcare
User460156	Work_Experience	Work_Experience1.0
User460156	Spending_Score	Spending_ScoreLow
User460156	Family_Size	Family_Size3.0
User460156	Var_1	Var_1Cat_6
User464347	Gender	GenderFemale
User464347	Ever_Married	Ever_MarriedNo
User464347	Age	Age33
User464347	everGraduated	GraduatedYes
User464347	Profession	ProfessionHealthcare
User464347	Work_Experience	Work_Experience1.0
User464347	Spending_Score	Spending_ScoreLow
User464347	Family_Size	Family_Size3.0
User464347	Var_1	Var_1Cat_6
User465015	Gender	GenderFemale
User465015	Ever_Married	Ever_MarriedYes
User465015	Age	Age61
User465015	everGraduated	GraduatedYes
User465015	Profession	ProfessionEngineer
User465015	Work_Experience	Work_Experience0.0
User465015	Spending_Score	Spending_ScoreLow
User465015	Family_Size	Family_Size3.0
User465015	Var_1	Var_1Cat_7
User465176	Gender	GenderFemale
User465176	Ever_Married	Ever_MarriedYes
User465176	Age	Age55
User465176	everGraduated	GraduatedYes
User465176	Profession	ProfessionArtist
User465176	Work_Experience	Work_Experience1.0
User465176	Spending_Score	Spending_ScoreAverage
User465176	Family_Size	Family_Size4.0
User465176	Var_1	Var_1Cat_6
User464041	Gender	GenderFemale
User464041	Ever_Married	Ever_MarriedNo
User464041	Age	Age26
User464041	everGraduated	GraduatedYes
User464041	Profession	ProfessionEngineer
User464041	Work_Experience	Work_Experience1.0
User464041	Spending_Score	Spending_ScoreLow
User464041	Family_Size	Family_Size3.0
User464041	Var_1	Var_1Cat_6
User464942	Gender	GenderMale
User464942	Ever_Married	Ever_MarriedNo
User464942	Age	Age19
User464942	everGraduated	GraduatedNo
User464942	Profession	ProfessionHealthcare
User464942	Work_Experience	Work_Experience4.0
User464942	Spending_Score	Spending_ScoreLow
User464942	Family_Size	Family_Size4.0
User464942	Var_1	Var_1Cat_4
User460849	Gender	GenderFemale
User460849	Ever_Married	Ever_MarriedYes
User460849	Age	Age58
User460849	everGraduated	GraduatedNo
User460849	Profession	ProfessionDoctor
User460849	Work_Experience	Work_Experience0.0
User460849	Spending_Score	Spending_ScoreLow
User460849	Family_Size	Family_Size1.0
User460849	Var_1	Var_1Cat_3
User460563	Gender	GenderFemale
User460563	Ever_Married	Ever_MarriedNo
User460563	Age	Age41
User460563	everGraduated	GraduatedNo
User460563	Profession	ProfessionHealthcare
User460563	Work_Experience	Work_Experience1.0
User460563	Spending_Score	Spending_ScoreLow
User460563	Family_Size	Family_Size2.0
User460563	Var_1	Var_1Cat_1
User466865	Gender	GenderFemale
User466865	Ever_Married	Ever_MarriedNo
User466865	Age	Age32
User466865	everGraduated	GraduatedNo
User466865	Profession	ProfessionHomemaker
User466865	Work_Experience	Work_Experience9.0
User466865	Spending_Score	Spending_ScoreLow
User466865	Family_Size	Family_Size5.0
User466865	Var_1	Var_1Cat_3
User461644	Gender	GenderMale
User461644	Ever_Married	Ever_MarriedNo
User461644	Age	Age31
User461644	everGraduated	GraduatedNo
User461644	Profession	ProfessionHealthcare
User461644	Work_Experience	Work_Experience1.0
User461644	Spending_Score	Spending_ScoreLow
User461644	Family_Size	Family_Size6.0
User461644	Var_1	Var_1Cat_6
User466772	Gender	GenderMale
User466772	Ever_Married	Ever_MarriedYes
User466772	Age	Age58
User466772	everGraduated	GraduatedYes
User466772	Profession	ProfessionEntertainment
User466772	Work_Experience	Work_Experience1.0
User466772	Spending_Score	Spending_ScoreAverage
User466772	Family_Size	Family_Size4.0
User466772	Var_1	Var_1Cat_6
User464291	Gender	GenderFemale
User464291	Ever_Married	Ever_MarriedYes
User464291	Age	Age79
User464291	everGraduated	GraduatedYes
User464291	Profession	ProfessionArtist
User464291	Work_Experience	Work_Experience0.0
User464291	Spending_Score	Spending_ScoreHigh
User464291	Family_Size	Family_Size1.0
User464291	Var_1	Var_1Cat_6
User466084	Gender	GenderMale
User466084	Ever_Married	Ever_MarriedYes
User466084	Age	Age49
User466084	everGraduated	GraduatedYes
User466084	Profession	ProfessionHomemaker
User466084	Work_Experience	Work_Experience12.0
User466084	Spending_Score	Spending_ScoreLow
User466084	Family_Size	Family_Size1.0
User466084	Var_1	Var_1Cat_3
User459675	Gender	GenderFemale
User459675	Ever_Married	Ever_MarriedNo
User459675	Age	Age18
User459675	everGraduated	GraduatedNo
User459675	Profession	ProfessionHealthcare
User459675	Work_Experience	Work_Experience3.0
User459675	Spending_Score	Spending_ScoreLow
User459675	Family_Size	Family_Size4.0
User459675	Var_1	Var_1Cat_6
User465602	Gender	GenderMale
User465602	Ever_Married	Ever_MarriedYes
User465602	Age	Age33
User465602	everGraduated	GraduatedYes
User465602	Profession	ProfessionArtist
