subject	predicate	object
Customer15634602	Gender	GenderFemale
Customer15634602	Age	Age42
Customer15634602	Geography	GeographyFrance
Customer15634602	Tenure	Tenure2
Customer15634602	NumOfProducts	NumOfProducts1
Customer15634602	HasCrCard	HasCrCardYes
Customer15634602	IsActiveMember	IsActiveMemberYes
Customer15634602	CreditScore	CreditScore4
Customer15634602	Balance	Balance0
Customer15634602	EstimatedSalary	EstimatedSalary4
Customer15647311	Gender	GenderFemale
Customer15647311	Age	Age41
Customer15647311	Geography	GeographySpain
Customer15647311	Tenure	Tenure1
Customer15647311	NumOfProducts	NumOfProducts1
Customer15647311	HasCrCard	HasCrCardNo
Customer15647311	IsActiveMember	IsActiveMemberYes
Customer15647311	CreditScore	CreditScore4
Customer15647311	Balance	Balance1
Customer15647311	EstimatedSalary	EstimatedSalary4
Customer15619304	Gender	GenderFemale
Customer15619304	Age	Age42
Customer15619304	Geography	GeographyFrance
Customer15619304	Tenure	Tenure8
Customer15619304	NumOfProducts	NumOfProducts3
Customer15619304	HasCrCard	HasCrCardYes
Customer15619304	IsActiveMember	IsActiveMemberNo
Customer15619304	CreditScore	CreditScore3
Customer15619304	Balance	Balance3
Customer15619304	EstimatedSalary	EstimatedSalary4
Customer15701354	Gender	GenderFemale
Customer15701354	Age	Age39
Customer15701354	Geography	GeographyFrance
Customer15701354	Tenure	Tenure1
Customer15701354	NumOfProducts	NumOfProducts2
Customer15701354	HasCrCard	HasCrCardNo
Customer15701354	IsActiveMember	IsActiveMemberNo
Customer15701354	CreditScore	CreditScore4
Customer15701354	Balance	Balance0
Customer15701354	EstimatedSalary	EstimatedSalary3
Customer15737888	Gender	GenderFemale
Customer15737888	Age	Age43
Customer15737888	Geography	GeographySpain
Customer15737888	Tenure	Tenure2
Customer15737888	NumOfProducts	NumOfProducts1
Customer15737888	HasCrCard	HasCrCardYes
Customer15737888	IsActiveMember	IsActiveMemberYes
Customer15737888	CreditScore	CreditScore6
Customer15737888	Balance	Balance2
Customer15737888	EstimatedSalary	EstimatedSalary3
Customer15574012	Gender	GenderMale
Customer15574012	Age	Age44
Customer15574012	Geography	GeographySpain
Customer15574012	Tenure	Tenure8
Customer15574012	NumOfProducts	NumOfProducts2
Customer15574012	HasCrCard	HasCrCardYes
Customer15574012	IsActiveMember	IsActiveMemberNo
Customer15574012	CreditScore	CreditScore4
Customer15574012	Balance	Balance2
Customer15574012	EstimatedSalary	EstimatedSalary5
Customer15592531	Gender	GenderMale
Customer15592531	Age	Age50
Customer15592531	Geography	GeographyFrance
Customer15592531	Tenure	Tenure7
Customer15592531	NumOfProducts	NumOfProducts2
Customer15592531	HasCrCard	HasCrCardYes
Customer15592531	IsActiveMember	IsActiveMemberYes
Customer15592531	CreditScore	CreditScore6
Customer15592531	Balance	Balance0
Customer15592531	EstimatedSalary	EstimatedSalary0
Customer15656148	Gender	GenderFemale
Customer15656148	Age	Age29
Customer15656148	Geography	GeographyGermany
Customer15656148	Tenure	Tenure4
Customer15656148	NumOfProducts	NumOfProducts4
Customer15656148	HasCrCard	HasCrCardYes
Customer15656148	IsActiveMember	IsActiveMemberNo
Customer15656148	CreditScore	CreditScore1
Customer15656148	Balance	Balance2
Customer15656148	EstimatedSalary	EstimatedSalary4
Customer15792365	Gender	GenderMale
Customer15792365	Age	Age44
Customer15792365	Geography	GeographyFrance
Customer15792365	Tenure	Tenure4
Customer15792365	NumOfProducts	NumOfProducts2
Customer15792365	HasCrCard	HasCrCardNo
Customer15792365	IsActiveMember	IsActiveMemberYes
Customer15792365	CreditScore	CreditScore3
Customer15792365	Balance	Balance2
Customer15792365	EstimatedSalary	EstimatedSalary2
Customer15592389	Gender	GenderMale
Customer15592389	Age	Age27
Customer15592389	Geography	GeographyFrance
Customer15592389	Tenure	Tenure2
Customer15592389	NumOfProducts	NumOfProducts1
Customer15592389	HasCrCard	HasCrCardYes
Customer15592389	IsActiveMember	IsActiveMemberYes
Customer15592389	CreditScore	CreditScore4
Customer15592389	Balance	Balance2
Customer15592389	EstimatedSalary	EstimatedSalary2
Customer15767821	Gender	GenderMale
Customer15767821	Age	Age31
Customer15767821	Geography	GeographyFrance
Customer15767821	Tenure	Tenure6
Customer15767821	NumOfProducts	NumOfProducts2
Customer15767821	HasCrCard	HasCrCardNo
Customer15767821	IsActiveMember	IsActiveMemberNo
Customer15767821	CreditScore	CreditScore3
Customer15767821	Balance	Balance2
Customer15767821	EstimatedSalary	EstimatedSalary3
Customer15737173	Gender	GenderMale
Customer15737173	Age	Age24
Customer15737173	Geography	GeographySpain
Customer15737173	Tenure	Tenure3
Customer15737173	NumOfProducts	NumOfProducts2
Customer15737173	HasCrCard	HasCrCardYes
Customer15737173	IsActiveMember	IsActiveMemberNo
Customer15737173	CreditScore	CreditScore2
Customer15737173	Balance	Balance0
Customer15737173	EstimatedSalary	EstimatedSalary3
Customer15632264	Gender	GenderFemale
Customer15632264	Age	Age34
Customer15632264	Geography	GeographyFrance
Customer15632264	Tenure	Tenure10
Customer15632264	NumOfProducts	NumOfProducts2
Customer15632264	HasCrCard	HasCrCardYes
Customer15632264	IsActiveMember	IsActiveMemberNo
Customer15632264	CreditScore	CreditScore2
Customer15632264	Balance	Balance0
Customer15632264	EstimatedSalary	EstimatedSalary1
Customer15691483	Gender	GenderFemale
Customer15691483	Age	Age25
Customer15691483	Geography	GeographyFrance
Customer15691483	Tenure	Tenure5
Customer15691483	NumOfProducts	NumOfProducts2
Customer15691483	HasCrCard	HasCrCardNo
Customer15691483	IsActiveMember	IsActiveMemberNo
Customer15691483	CreditScore	CreditScore3
Customer15691483	Balance	Balance0
Customer15691483	EstimatedSalary	EstimatedSalary7
Customer15600882	Gender	GenderFemale
Customer15600882	Age	Age35
Customer15600882	Geography	GeographySpain
Customer15600882	Tenure	Tenure7
Customer15600882	NumOfProducts	NumOfProducts2
Customer15600882	HasCrCard	HasCrCardYes
Customer15600882	IsActiveMember	IsActiveMemberYes
Customer15600882	CreditScore	CreditScore4
Customer15600882	Balance	Balance0
Customer15600882	EstimatedSalary	EstimatedSalary2
Customer15643966	Gender	GenderMale
Customer15643966	Age	Age45
Customer15643966	Geography	GeographyGermany
Customer15643966	Tenure	Tenure3
Customer15643966	NumOfProducts	NumOfProducts2
Customer15643966	HasCrCard	HasCrCardNo
Customer15643966	IsActiveMember	IsActiveMemberYes
Customer15643966	CreditScore	CreditScore4
Customer15643966	Balance	Balance2
Customer15643966	EstimatedSalary	EstimatedSalary2
Customer15737452	Gender	GenderMale
Customer15737452	Age	Age58
Customer15737452	Geography	GeographyGermany
Customer15737452	Tenure	Tenure1
Customer15737452	NumOfProducts	NumOfProducts1
Customer15737452	HasCrCard	HasCrCardYes
Customer15737452	IsActiveMember	IsActiveMemberNo
Customer15737452	CreditScore	CreditScore4
Customer15737452	Balance	Balance2
Customer15737452	EstimatedSalary	EstimatedSalary0
Customer15788218	Gender	GenderFemale
Customer15788218	Age	Age24
Customer15788218	Geography	GeographySpain
Customer15788218	Tenure	Tenure9
Customer15788218	NumOfProducts	NumOfProducts2
Customer15788218	HasCrCard	HasCrCardYes
Customer15788218	IsActiveMember	IsActiveMemberYes
Customer15788218	CreditScore	CreditScore3
Customer15788218	Balance	Balance0
Customer15788218	EstimatedSalary	EstimatedSalary0
Customer15661507	Gender	GenderMale
Customer15661507	Age	Age45
Customer15661507	Geography	GeographySpain
Customer15661507	Tenure	Tenure6
Customer15661507	NumOfProducts	NumOfProducts1
Customer15661507	HasCrCard	HasCrCardNo
Customer15661507	IsActiveMember	IsActiveMemberNo
Customer15661507	CreditScore	CreditScore3
Customer15661507	Balance	Balance0
Customer15661507	EstimatedSalary	EstimatedSalary6
Customer15568982	Gender	GenderFemale
Customer15568982	Age	Age24
Customer15568982	Geography	GeographyFrance
Customer15568982	Tenure	Tenure6
Customer15568982	NumOfProducts	NumOfProducts2
